2.1504	1.4245	0.5682	1.7403	1.9266	2.0425	2.1432	2.1934	1.3291	2.1702	2.1774	2.1102	0.921	2.2383	1.9432	2.2174	2.1871	2.2056	2.2159	2.2374	0.091	0.0915	2.2723	2.2959
1.658	0.2243	0.1185	0.2972	0.5867	0.8219	0.9542	1.2638	0.2051	0.827	1.1061	0.6204	0.1662	1.9677	0.4991	1.4733	2.2006	1.9388	1.891	2.0657	0.09	0.0867	1.8139	1.7964
0.6706	0.1188	0.0913	0.137	0.2062	0.2434	0.2793	0.416	0.1234	0.3257	0.289	0.2584	0.1051	1.3948	0.1919	0.6454	2.1412	1.4932	1.2736	1.8353	0.0882	0.0885	1.0194	1.0868
0.2469	0.0913	0.0851	0.0961	0.1147	0.1214	0.1326	0.1591	0.0981	0.1448	0.1444	0.1244	0.0948	0.5846	0.1176	0.2211	1.8736	0.6774	0.4889	1.1587	0.0962	0.0918	0.3495	0.4483
0.1369	0.0836	0.0869	0.085	0.0992	0.0939	0.0961	0.1085	0.0948	0.1017	0.1027	0.0975	0.0946	0.2189	0.1042	0.1339	1.26	0.2715	0.1984	0.4037	0.092	0.0922	0.1603	0.214
0.0974	0.087	0.0821	0.0858	0.0885	0.0942	0.1037	0.0894	0.0873	0.0946	0.0999	0.1003	0.0993	0.1438	0.099	0.1046	0.4538	0.154	0.1289	0.1763	0.0917	0.0919	0.1113	0.1332
0.0922	0.0837	0.0858	0.086	0.0979	0.0997	0.1018	0.0877	0.0817	0.1092	0.0932	0.0895	0.0903	0.1057	0.0973	0.0978	0.2022	0.1086	0.1167	0.1195	0.0933	0.0924	0.1041	0.106
0.0945	0.093	0.089	0.0847	0.084	0.3079	0.2481	0.0857	0.0916	0.1398	0.1169	0.0994	0.1048	0.0997	0.0965	0.0913	0.1249	0.0979	0.2007	0.1742	0.0934	0.0965	0.104	0.1069
2.188	2.1327	2.2024	2.1775	1.9256	1.9115	2.1423	2.0717	1.9963	2.1352	2.2006	1.9466	2.1034	2.1779	2.1854	1.0799	2.1582	1.0095	2.1199	2.2613	0.0887	0.0932	2.3164	2.3365
1.8498	1.9488	1.8006	1.8827	0.8268	0.7501	2.0753	1.2098	0.9965	1.7718	2.0543	0.517	1.7201	1.9318	2.1331	0.1733	1.2213	0.203	1.0301	2.2029	0.0953	0.0948	1.8276	1.8549
1.1395	1.3353	1.0671	1.2507	0.2821	0.2803	1.9955	0.5531	0.3073	1.2755	1.7686	0.1956	0.9493	1.4332	1.894	0.1183	0.4023	0.1249	0.3448	2.067	0.0961	0.0942	0.9997	1.0311
0.5094	0.4643	0.3287	0.3756	0.1509	0.1355	1.9079	0.2093	0.2307	0.5484	1.1912	0.1218	0.3903	0.6406	1.4154	0.0928	0.1765	0.1054	0.1646	1.5533	0.0987	0.0995	0.3576	0.4136
0.2069	0.1599	0.151	0.1596	0.1063	0.1047	1.5926	0.1309	0.1079	0.2122	0.4468	0.1029	0.17	0.2243	0.6925	0.0991	0.1202	0.0952	0.1121	0.8032	0.0924	0.0991	0.1642	0.1627
0.1249	0.1121	0.1025	0.1067	0.0918	0.0895	0.9166	0.1034	0.0973	0.1293	0.203	0.092	0.118	0.1333	0.283	0.1014	0.1042	0.0933	0.0998	0.3109	0.0919	0.0978	0.1118	0.1218
0.0944	0.0962	0.0896	0.0951	0.0908	0.0871	0.4338	0.0933	0.0903	0.0951	0.1256	0.0877	0.1186	0.1044	0.1567	0.0914	0.0927	0.0926	0.0956	0.1557	0.0974	0.0963	0.1063	0.1018
0.0852	0.0915	0.0877	0.094	0.0919	0.0878	0.2365	0.0913	0.0938	0.097	0.1079	0.092	0.1055	0.0946	0.1178	0.0942	0.0953	0.0928	0.0958	0.1234	0.0965	0.0931	0.0964	0.0951
